Player,From,To,Pos,Ht,Wt,Birth Date,College
Blake Ahearn\ahearbl01,2008,2012,G,6-2,190,May 27 1984,Missouri State University
Danny Ainge\aingeda01,1982,1995,G,6-4,175,March 17 1959,Brigham Young University
Matthew Aitch\aitchma01,1968,1968,F,6-7,230,September 21 1944,Michigan State University
Alexis Ajinca\ajincal01,2009,2017,C,7-2,248,May 6 1988,
Henry Akin\akinhe01,1967,1969,C-F,6-10,225,July 31 1944,Morehead State University
Josh Akognon\akognjo01,2013,2013,G,5-11,185,February 10 1986,California State University Fullerton
Solomon Alabi\alabiso01,2011,2012,C,7-1,251,March 21 1988,Florida State University
Mark Alarie\alarima01,1987,1991,F,6-8,217,December 11 1963,Duke University
Gary Alcorn\alcorga01,1960,1961,C,6-9,225,October 8 1936,California State University Fresno
Furkan Aldemir\aldemfu01,2015,2015,F-C,6-10,240,August 9 1991,
Cole Aldrich\aldrico01,2011,2017,C,6-11,250,October 31 1988,University of Kansas
LaMarcus Aldridge\aldrila01,2007,2017,F-C,6-11,260,July 19 1985,University of Texas at Austin
Chuck Aleksinas\aleksch01,1985,1985,C,6-11,260,February 26 1959,University of Connecticut
Cliff Alexander\alexacl01,2016,2016,F,6-8,245,November 16 1995,University of Kansas
Cory Alexander\alexaco01,1996,2005,G,6-1,185,June 22 1973,University of Virginia
Courtney Alexander\alexaco02,2001,2003,G,6-5,205,April 27 1977,California State University Fresno
Gary Alexander\alexaga01,1994,1994,F,6-7,240,November 1 1969,University of South Florida
Joe Alexander\alexajo01,2009,2010,F,6-8,230,December 26 1986,West Virginia University
Victor Alexander\alexavi01,1992,2002,C-F,6-9,265,August 31 1969,Iowa State University
Steve Alford\alforst01,1988,1991,G,6-2,183,November 23 1964,Indiana University
Bill Allen\allenbi01,1968,1968,C-F,6-8,205,,New Mexico State University
Bob Allen\allenbo01,1969,1969,F,6-9,205,July 17 1946,Marshall University
Jerome Allen\allenje01,1996,1997,G,6-4,184,January 28 1973,University of Pennsylvania
Lavoy Allen\allenla01,2012,2017,F-C,6-9,260,February 4 1989,Temple University
Lucius Allen\allenlu01,1970,1979,G,6-2,175,September 26 1947,University of California Los Angeles
Malik Allen\allenma01,2002,2011,F-C,6-10,255,June 27 1978,Villanova University
Randy Allen\allenra01,1989,1990,F,6-8,220,January 26 1965,Florida State University
Ray Allen\allenra02,1997,2014,G,6-5,205,July 20 1975,University of Connecticut
Tony Allen\allento01,2005,2017,G-F,6-4,213,January 11 1982,Oklahoma State University
Willie Allen\allenwi01,1972,1972,F,6-6,230,February 8 1949,University of Miami
Odis Allison\allisod01,1972,1972,F,6-6,195,October 2 1949,University of Nevada Las Vegas
Lance Allred\allrela01,2008,2008,C,6-11,250,February 2 1981,Weber State University
Darrell Allums\allumda01,1981,1981,F,6-9,220,September 12 1958,University of California Los Angeles
Morris Almond\almonmo01,2008,2012,G,6-6,225,February 2 1985,Rice University
Derrick Alston\alstode01,1995,1997,F,6-11,225,August 20 1972,Duquesne University
Rafer Alston\alstora01,2000,2010,G,6-2,171,July 24 1976,California State University Fresno
Peter Aluma\alumape01,1999,1999,C,6-10,260,April 23 1973,Liberty University
John Amaechi\amaecjo01,1996,2003,C-F,6-10,270,November 26 1970,Pennsylvania State University
Ashraf Amaya\amayaas01,1996,1997,F,6-8,230,November 23 1971,Southern Illinois University
Al-Farouq Aminu\aminual01,2011,2017,F,6-9,220,September 21 1990,Wake Forest University
Lou Amundson\amundlo01,2007,2016,F,6-9,220,December 7 1982,University of Nevada Las Vegas
Bob Anderegg\anderbo01,1960,1960,F-G,6-3,200,August 24 1937,Michigan State University
Chris Andersen\anderch01,2002,2017,F-C,6-10,245,July 7 1978,Blinn College
David Andersen\anderda03,2010,2011,C,6-11,245,June 23 1980,
Alan Anderson\anderal01,2006,2017,G-F,6-6,220,October 16 1982,Michigan State University
Andrew Anderson\anderan01,1968,1970,G,6-2,184,July 6 1945,Canisius College
Antonio Anderson\anderan02,2010,2010,G,6-6,215,June 5 1985,University of Memphis
Cliff Anderson\andercl01,1968,1971,G-F,6-2,200,September 7 1944,Saint Joseph's University
Dan Anderson\anderda01,1968,1969,C,6-10,230,February 15 1943,Augsburg College
Dan Anderson\anderda02,1975,1976,G,6-2,185,January 1 1951,University of Southern California
Derek Anderson\anderde01,1998,2008,G,6-5,194,July 18 1974,University of Kentucky
Dwight Anderson\anderdw01,1983,1983,G,6-3,185,December 28 1960,University of Southern California
Eric Anderson\anderer01,1993,1994,F,6-9,220,May 26 1970,Indiana University
Greg Anderson\andergr01,1988,1998,F-C,6-10,230,June 22 1964,University of Houston
J.J. Anderson\anderjj01,1983,1985,F,6-8,195,September 23 1960,Bradley University
James Anderson\anderja01,2011,2016,G-F,6-6,213,March 25 1989,Oklahoma State University
Jerome Anderson\anderje01,1976,1977,G,6-5,195,October 9 1953,West Virginia University
Justin Anderson\anderju01,2016,2017,G,6-6,228,November 19 1993,University of Virginia
Kenny Anderson\anderke01,1992,2005,G,6-0,168,October 9 1970,Georgia Institute of Technology
Kim Anderson\anderki01,1979,1979,F,6-7,200,May 12 1955,University of Missouri
Kyle Anderson\anderky01,2015,2017,F-G,6-9,230,September 20 1993,University of California Los Angeles
Michael Anderson\andermi01,1989,1989,G,5-11,184,March 23 1966,Drexel University
Nick Anderson\anderni01,1990,2002,F-G,6-6,205,January 20 1968,University of Illinois at Urbana-Champaign
Richard Anderson\anderri01,1983,1990,F-C,6-10,240,November 19 1960,University of California Santa Barbara
Ron Anderson\anderro01,1985,1994,F-G,6-7,215,October 15 1958,California State University Fresno
Ryan Anderson\anderry01,2009,2017,F,6-10,240,May 6 1988,University of California
Shandon Anderson\andersh01,1997,2006,F-G,6-6,208,December 31 1973,University of Georgia
Willie Anderson\anderwi01,1989,1997,G-F,6-7,190,January 8 1967,University of Georgia
Wally Anderzunas\anderwa01,1970,1970,C-F,6-7,220,January 11 1946,Creighton University
Martynas Andriuskevicius\andrima01,2006,2006,C,7-2,240,March 12 1986,
Don Anielak\anieldo01,1955,1955,F,6-7,190,November 1 1930,Missouri State University
Michael Ansley\anslemi01,1990,1992,F,6-7,225,February 8 1967,University of Alabama
Chris Anstey\anstech01,1998,2000,C,7-0,249,January 1 1975,
Giannis Antetokounmpo\antetgi01,2014,2017,F-G,6-11,222,December 6 1994,
Thanasis Antetokounmpo\antetth01,2016,2016,F,6-7,205,July 17 1992,
Carmelo Anthony\anthoca01,2004,2017,F,6-8,240,May 29 1984,Syracuse University
Greg Anthony\anthogr01,1992,2002,G,6-0,176,November 15 1967,University of Nevada Las Vegas
Joel Anthony\anthojo01,2008,2017,C,6-9,245,August 9 1982,University of Nevada Las Vegas
Pero Antic\anticpe01,2014,2015,C-F,6-11,260,July 29 1982,
Keith Appling\applike01,2016,2016,G,6-1,185,February 13 1992,Michigan State University
Rafael Araujo\araujra01,2005,2007,C,6-11,280,August 12 1980,Brigham Young University
Stacey Arceneaux\arcenst01,1962,1962,F,6-4,210,February 17 1936,Iowa State University
Robert Archibald\archiro01,2003,2004,F,6-11,250,March 29 1980,University of Illinois at Urbana-Champaign
Tiny Archibald*\architi01,1971,1984,G,6-1,150,September 2 1948,University of Texas at El Paso
Jim Ard\ardji01,1971,1978,F-C,6-8,215,September 19 1948,University of Cincinnati
Gilbert Arenas\arenagi01,2002,2012,G,6-3,191,January 6 1982,University of Arizona
Trevor Ariza\arizatr01,2005,2017,F,6-8,215,June 30 1985,University of California Los Angeles
Paul Arizin*\arizipa01,1951,1962,F-G,6-4,190,April 9 1928,Villanova University
Joe Arlauckas\arlaujo01,1988,1988,F,6-9,230,July 20 1965,Niagara University
B.J. Armstrong\armstbj01,1990,2000,G,6-2,175,September 9 1967,University of Iowa
Bob Armstrong\armstbo01,1957,1957,C-F,6-8,220,June 17 1933,Michigan State University
Brandon Armstrong\armstbr01,2002,2004,G,6-5,188,June 16 1980,Pepperdine University
Curly Armstrong\armstcu01,1949,1951,G-F,5-11,170,November 1 1918,Indiana University
Darrell Armstrong\armstda01,1995,2008,G,6-0,170,June 22 1968,Fayetteville State University
Hilton Armstrong\armsthi01,2007,2014,F-C,6-11,235,November 11 1984,University of Connecticut
Tate Armstrong\armstta01,1978,1979,G,6-3,175,October 5 1955,Duke University
Jesse Arnelle\arnelje01,1956,1956,F,6-5,220,December 30 1933,Pennsylvania State University
Jay Arnette\arnetja01,1964,1966,G,6-2,175,December 19 1938,University of Texas at Austin
Bob Arnzen\arnzebo01,1970,1974,F,6-5,205,November 3 1947,University of Notre Dame
Carlos Arroyo\arroyca01,2002,2011,G,6-2,202,July 30 1979,Florida International University
Darrell Arthur\arthuda01,2009,2017,F,6-9,235,March 25 1988,University of Kansas
John Arthurs\arthujo01,1970,1970,G,6-4,185,August 15 1947,Tulane University
Omer Asik\asikom01,2011,2017,C,7-0,255,July 4 1986,
Vincent Askew\askewvi01,1988,1998,G-F,6-6,210,February 28 1966,University of Memphis
Keith Askins\askinke01,1991,1999,G-F,6-7,197,December 15 1967,University of Alabama
Don Asmonga\asmondo01,1954,1954,G,6-2,185,February 15 1928,Alliance College
Dick Atha\athadi01,1956,1958,G,6-2,190,September 21 1931,Indiana State University
Chucky Atkins\atkinch01,2000,2010,G,5-11,160,August 14 1974,University of South Florida
Al Attles\attleal01,1961,1971,G,6-0,175,November 7 1936,North Carolina Agricultural and Technical State University
Chet Aubuchon\aubucch01,1947,1947,G,5-10,137,May 18 1916,Michigan State University
Stacey Augmon\augmost01,1992,2006,F-G,6-8,205,August 1 1968,University of Nevada Las Vegas
D.J. Augustin\augusdj01,2009,2017,G,6-0,183,November 10 1987,University of Texas at Austin
James Augustine\augusja01,2007,2008,F,6-10,235,February 27 1984,University of Illinois at Urbana-Champaign
Isaac Austin\austiis01,1992,2002,C,6-10,255,August 18 1969,Arizona State University
Johnny Austin\austijo01,1967,1968,G,6-0,170,August 31 1944,Boston College
Ken Austin\austike01,1984,1984,F,6-9,205,July 15 1961,Rice University
Anthony Avent\aventan01,1993,2000,F,6-9,235,October 18 1969,Seton Hall University
Bird Averitt\averibi01,1974,1978,G,6-1,170,July 22 1952,Pepperdine University
William Avery\averywi01,2000,2002,G,6-2,197,August 8 1979,Duke University
Dennis Awtrey\awtrede01,1971,1982,C,6-10,235,February 22 1948,Santa Clara University
Gustavo Ayon\ayongu01,2012,2014,C,6-10,250,April 1 1985,
Jeff Ayres\pendeje02,2010,2016,F,6-9,240,April 29 1987,Arizona State University
Kelenna Azubuike\azubuke01,2007,2012,G,6-5,220,December 16 1983,University of Kentucky
Chris Babb\babbch01,2014,2014,G,6-5,225,February 14 1990,Iowa State University
Luke Babbitt\babbilu01,2011,2017,F,6-9,225,June 20 1989,University of Nevada Reno
Milos Babic\babicmi01,1991,1992,C-F,7-0,240,November 23 1968,Tennessee Technological University
Johnny Bach\bachjo01,1949,1949,F-G,6-2,180,July 10 1924,Fordham University
Henry Bacon\baconhe01,1973,1973,G,6-3,205,July 5 1948,University of Louisville
Jim Baechtold\baechji01,1953,1957,F-G,6-4,205,December 9 1927,Eastern Kentucky University
Dalibor Bagaric\bagarda01,2001,2003,C,7-1,255,February 7 1980,
John Bagley\baglejo01,1983,1994,G,6-0,185,April 23 1960,Boston College
Carl Bailey\baileca01,1982,1982,C,7-0,210,April 23 1958,Tuskegee University
Gus Bailey\bailegu01,1975,1980,G-F,6-5,185,February 18 1951,University of Texas at El Paso
James Bailey\baileja01,1980,1988,F-C,6-9,220,May 21 1957,Rutgers University
Thurl Bailey\baileth01,1984,1999,F-C,6-11,215,April 7 1961,North Carolina State University
Toby Bailey\baileto01,1999,2000,G,6-6,213,November 19 1975,University of California Los Angeles
Cameron Bairstow\bairsca01,2015,2016,F-C,6-9,250,December 7 1990,University of New Mexico
Jimmie Baker\bakerji01,1976,1976,F,6-9,220,December 25 1953,University of Hawaii
LaMark Baker\bakerla01,1999,1999,G,6-1,175,November 11 1969,Ohio State University
Maurice Baker\bakerma01,2005,2005,G,6-1,175,July 28 1979,Oklahoma State University
Norm Baker\bakerno01,1947,1947,G,6-0,180,February 17 1923,
Ron Baker\bakerro01,2017,2017,G,6-4,220,March 30 1993,Wichita State University
Vin Baker\bakervi01,1994,2006,F,6-11,232,November 23 1971,University of Hartford
Wade Baldwin\baldwwa01,2017,2017,G,6-4,202,March 29 1996,Vanderbilt University
Renaldo Balkman\balkmre01,2007,2012,F,6-8,208,July 14 1984,University of South Carolina
Cedric Ball\ballce01,1991,1991,F,6-8,210,April 16 1968,University of North Carolina at Charlotte
Greg Ballard\ballagr01,1978,1989,F,6-7,215,January 29 1955,University of Oregon
Herschel Baltimore\baltihe01,1947,1947,F,6-4,195,June 21 1921,Pennsylvania State University
Gene Banks\banksge01,1982,1987,F-G,6-7,215,May 15 1959,Duke University
Zarko Cabarkapa\cabarza01,2004,2006,F,6-11,235,May 21 1981,
Barney Cable\cableba01,1959,1964,F,6-7,175,July 29 1935,Bradley University
Bruno Caboclo\cabocbr01,2015,2017,F,6-9,218,September 21 1995,
Jason Caffey\caffeja01,1996,2003,F,6-8,255,June 12 1973,University of Alabama
Michael Cage\cagemi01,1985,2000,F-C,6-9,224,January 28 1962,San Diego State University
Gerry Calabrese\calabge01,1951,1952,G,6-1,175,February 4 1925,St. John's University
Nick Calathes\calatni01,2014,2015,G,6-6,213,February 7 1989,University of Florida
Jose Calderon\caldejo01,2006,2017,G,6-3,200,September 28 1981,
Adrian Caldwell\caldwad01,1990,1998,F-C,6-8,265,July 4 1966,Lamar University
Jim Caldwell\caldwji01,1968,1969,C,6-10,240,January 28 1943,Georgia Institute of Technology
Joe Caldwell\caldwjo01,1965,1975,F-G,6-5,195,November 1 1941,Arizona State University
Kentavious Caldwell-Pope\caldwke01,2014,2017,G,6-5,205,February 18 1993,University of Georgia
Bill Calhoun\calhobi01,1949,1955,F-G,6-3,180,November 4 1927,City College of San Francisco
Corky Calhoun\calhoco01,1973,1980,F,6-7,210,November 1 1950,University of Pennsylvania
Demetrius Calip\calipde01,1992,1992,G,6-1,165,November 18 1969,University of Michigan
Tom Callahan\callato01,1947,1947,G,6-1,180,June 2 1921,Rockhurst University
Rick Calloway\callori01,1991,1991,F,6-6,180,December 12 1966,University of Kansas
Ernie Calverley\calveer01,1947,1949,G,5-10,145,January 30 1924,University of Rhode Island
Mack Calvin\calvima01,1970,1981,G,6-0,165,July 27 1947,University of Southern California
Dexter Cambridge\cambrde01,1993,1993,F,6-7,224,January 29 1970,University of Texas at Austin
Marcus Camby\cambyma01,1997,2013,C-F,6-11,220,March 22 1974,University of Massachusetts Amherst
Elden Campbell\campbel01,1991,2005,C,6-11,215,July 23 1968,Clemson University
Tony Campbell\campbto01,1985,1995,F-G,6-7,215,May 7 1962,Ohio State University
Isaiah Canaan\canaais01,2014,2017,G,6-0,201,May 21 1991,Murray State University
Larry Cannon\cannola01,1970,1974,G,6-4,195,April 12 1947,La Salle University
Clint Capela\capelca01,2015,2017,F-C,6-10,240,May 18 1994,
Derrick Caracter\caracde01,2011,2011,F,6-9,275,May 4 1988,University of Texas at El Paso
Frank Card\cardfr01,1969,1973,F,6-7,195,December 28 1944,South Carolina State University
Brian Cardinal\cardibr01,2001,2012,F,6-8,245,May 2 1977,Purdue University
Howie Carl\carlho01,1962,1962,G,5-9,160,June 7 1938,DePaul University
Chet Carlisle\carlich01,1947,1947,F-C,6-5,195,November 2 1916,University of California
Geno Carlisle\carlige01,2005,2005,G,6-3,180,August 13 1976,University of California
Rick Carlisle\carliri01,1985,1990,G,6-5,210,October 27 1959,University of Virginia
Don Carlos\carlodo01,1969,1969,G-F,6-5,210,March 3 1944,Otterbein College
Al Carlson\carlsal01,1976,1976,C,6-11,235,September 17 1951,University of Oregon
Don Carlson\carlsdo01,1947,1951,G-F,6-0,170,March 22 1919,University of Minnesota
Bob Carney\carnebo01,1955,1955,G,6-3,170,August 3 1932,Bradley University
Rodney Carney\carnero01,2007,2011,F,6-7,205,April 15 1984,University of Memphis
Bob Carpenter\carpebo01,1950,1951,F-C,6-5,200,November 6 1917,East Texas State University
Antoine Carr\carran01,1985,2000,F-C,6-9,225,July 23 1961,Wichita State University
Austin Carr\carrau01,1972,1981,G,6-4,200,March 10 1948,University of Notre Dame
Chris Carr\carrch01,1996,2001,G,6-5,207,March 12 1974,Southern Illinois University
Cory Carr\carrco01,1999,1999,G,6-3,210,December 5 1975,Texas Tech University
Kenny Carr\carrke01,1978,1987,F,6-7,220,August 15 1955,North Carolina State University
M.L. Carr\carrml01,1976,1985,F-G,6-6,205,January 9 1951,Guilford College
Darel Carrier\carrida01,1968,1973,G,6-3,185,October 26 1940,Western Kentucky University
Bob Carrington\carribo01,1978,1980,G-F,6-6,195,July 3 1953,Boston College
DeMarre Carroll\carrode01,2010,2017,F,6-8,215,July 27 1986,University of Missouri
Joe Barry Carroll\carrojo01,1981,1991,C-F,7-0,225,July 24 1958,Purdue University
Matt Carroll\carroma01,2004,2013,G,6-6,212,August 28 1980,University of Notre Dame
Jimmy Carruth\carruji01,1997,1997,C-F,6-10,265,November 4 1969,Virginia Polytechnic Institute and State University
Anthony Carter\cartean01,2000,2012,G,6-1,190,June 16 1975,University of Hawaii
Butch Carter\cartebu01,1981,1986,G,6-5,180,June 11 1958,Indiana University
Fred Carter\cartefr01,1970,1977,G-F,6-3,185,February 14 1945,Mount St. Mary's University
George Carter\cartege01,1968,1976,F-G,6-4,210,January 10 1944,St. Bonaventure University
Howard Carter\carteho01,1984,1985,G,6-5,215,October 26 1961,Louisiana State University
Jake Carter\carteja01,1950,1950,F-C,6-4,195,July 25 1924,East Texas State University
Maurice Carter\cartema01,2004,2004,G,6-5,210,October 12 1976,Louisiana State University
Reggie Carter\cartere01,1981,1982,G,6-3,175,October 10 1957,St. John's University
Ron Carter\cartero01,1979,1980,G,6-5,190,August 31 1956,Virginia Military Institute
Vince Carter\cartevi01,1999,2017,G-F,6-6,220,January 26 1977,University of North Carolina
Michael Carter-Williams\cartemi01,2014,2017,G,6-6,190,October 10 1991,Syracuse University
Bill Cartwright\cartwbi01,1980,1995,C,7-1,245,July 30 1957,University of San Francisco
Jay Carty\cartyja01,1969,1969,F,6-8,220,July 4 1941,Oregon State University
Cornelius Cash\cashco01,1977,1977,F,6-8,215,March 3 1952,Bowling Green State University
Sam Cash\cashsa01,1973,1973,F,6-8,230,November 13 1950,University of California Riverside
Sam Cassell\cassesa01,1994,2008,G,6-3,185,November 18 1969,Florida State University
Omri Casspi\casspom01,2010,2017,F,6-9,225,June 22 1988,
Harvey Catchings\catchha01,1975,1985,C-F,6-9,218,September 2 1951,Hardin-Simmons University
Terry Catledge\catlete01,1986,1993,F,6-8,220,August 22 1963,University of South Alabama
Sid Catlett\catlesi01,1972,1972,F,6-6,230,April 18 1948,University of Notre Dame
Kelvin Cato\catoke01,1998,2007,C,6-11,255,August 26 1974,Iowa State University
Bobby Cattage\cattabo01,1982,1986,F,6-9,250,August 17 1958,Auburn University
Willie Cauley-Stein\caulewi01,2016,2017,F-C,7-0,240,August 18 1993,University of Kentucky
Duane Causwell\causwdu01,1991,2001,C,7-0,240,May 31 1968,Temple University
Ron Cavenall\cavenro01,1985,1989,C,7-1,230,April 30 1959,Texas Southern University
Cedric Ceballos\cebalce01,1991,2001,F,6-6,190,August 2 1969,California State University Fullerton
John Celestand\celesjo01,2000,2000,G,6-4,178,March 6 1977,Villanova University
Al Cervi*\cervial01,1950,1953,G-F,5-11,170,February 12 1917,
Lionel Chalmers\chalmli01,2005,2005,G,6-0,180,November 10 1980,Xavier University
Mario Chalmers\chalmma01,2009,2016,G,6-2,190,May 19 1986,University of Kansas
Bill Chamberlain\chambbi01,1973,1974,F,6-6,188,December 16 1949,University of North Carolina
Wilt Chamberlain*\chambwi01,1960,1973,C,7-1,275,August 21 1936,University of Kansas
Jerry Chambers\chambje01,1967,1974,F,6-5,185,July 18 1943,University of Utah
Tom Chambers\chambto01,1982,1998,F-C,6-10,220,June 21 1959,University of Utah
Mike Champion\champmi01,1989,1989,F,6-10,230,April 5 1964,Gonzaga University
Tyson Chandler\chandty01,2002,2017,C,7-1,240,October 2 1982,
Wilson Chandler\chandwi01,2008,2017,F,6-8,225,May 10 1987,DePaul University
Don Chaney\chanedo01,1969,1980,G,6-5,210,March 22 1946,University of Houston
John Chaney\chanejo01,1950,1950,F-C,6-3,185,February 29 1920,Louisiana State University
Rex Chapman\chapmre01,1989,2000,G,6-4,185,October 5 1967,University of Kentucky
Wayne Chapman\chapmwa01,1969,1972,G-F,6-6,190,June 15 1945,Western Kentucky University
Len Chappell\chapple01,1963,1972,F-C,6-8,240,January 31 1941,Wake Forest University
Ken Charles\charlke01,1974,1978,G,6-3,180,July 10 1951,Fordham University
Lorenzo Charles\charllo01,1986,1986,F,6-7,225,November 25 1963,North Carolina State University
Calbert Cheaney\cheanca01,1994,2006,G-F,6-7,209,July 17 1971,Indiana University
Maurice Cheeks\cheekma01,1979,1993,G,6-1,180,September 8 1956,West Texas A&M University
Phil Chenier\cheniph01,1972,1981,G,6-3,180,October 30 1950,University of California
Will Cherry\cherrwi01,2015,2015,G,6-0,185,February 8 1991,University of Montana
Derrick Chievous\chievde01,1989,1991,F,6-7,195,July 3 1967,University of Missouri
Pete Chilcutt\chilcpe01,1992,2000,F-C,6-10,230,September 14 1968,University of North Carolina
Josh Childress\childjo01,2005,2014,G-F,6-8,210,June 20 1983,Stanford University
Randolph Childress\childra01,1996,1997,G,6-2,188,September 21 1972,Wake Forest University
Chris Childs\childch01,1995,2003,G,6-3,195,November 20 1967,Boise State University
Leroy Chollet\chollle01,1950,1951,F,6-2,190,March 5 1925,Canisius College
Jim Chones\choneji01,1973,1982,C-F,6-11,220,November 30 1949,Marquette University
Marquese Chriss\chrisma01,2017,2017,F,6-10,233,July 2 1997,University of Washington
Fred Christ\chrisfr01,1955,1955,G,6-4,210,August 6 1930,Fordham University
Cal Christensen\chrisca01,1951,1955,F-C,6-5,210,July 8 1927,University of Toledo
Bob Christian\chrisbo01,1970,1974,C,6-10,255,May 11 1946,Grambling State University
Doug Christie\chrisdo01,1993,2007,G-F,6-6,200,May 9 1970,Pepperdine University
Dionte Christmas\chrisdi01,2014,2014,G,6-5,205,September 15 1986,Temple University
Rakeem Christmas\chrisra01,2016,2017,F,6-9,250,December 1 1991,Syracuse University
Semaj Christon\chrisse01,2017,2017,G,6-3,190,November 1 1992,Xavier University
Patrick Christopher\chrispa01,2015,2015,G-F,6-5,209,June 3 1988,University of California
Stephen Chubin\chubist01,1968,1970,G,6-2,200,February 8 1944,University of Rhode Island
Robert Churchwell\churcro01,1996,1996,G-F,6-6,195,February 20 1972,Georgetown University
Archie Clark\clarkar01,1967,1976,G,6-2,175,July 15 1941,University of Minnesota
Carlos Clark\clarkca01,1984,1985,G,6-4,210,August 10 1960,University of Mississippi
Earl Clark\clarkea01,2010,2015,F,6-10,225,January 17 1988,University of Louisville
Ian Clark\clarkia01,2014,2017,G,6-3,175,March 7 1991,Belmont University
Keon Clark\clarkke01,1999,2004,F-C,6-11,220,April 16 1975,University of Nevada Las Vegas
Richard Clark\clarkri01,1968,1969,G,6-4,190,January 5 1944,Eastern Kentucky University
Coty Clarke\clarkco01,2016,2016,F,6-7,232,July 4 1992,University of Arkansas
Jordan Clarkson\clarkjo01,2015,2017,G,6-5,194,June 7 1992,University of Missouri
Victor Claver\clavevi01,2013,2015,F,6-9,224,August 30 1988,
John Clawson\clawsjo01,1969,1969,F,6-4,200,May 15 1944,University of Michigan
Charles Claxton\claxtch01,1996,1996,C,7-0,265,December 13 1970,University of Georgia
Speedy Claxton\claxtsp01,2002,2009,G,5-11,166,May 8 1978,Hofstra University
Jim Cleamons\cleamji01,1972,1980,G,6-3,185,September 13 1949,Ohio State University
Mateen Cleaves\cleavma01,2001,2006,G,6-2,205,September 7 1977,Michigan State University
Barry Clemens\clemeba01,1966,1976,F,6-6,210,May 1 1943,Ohio Wesleyan University
Nat Clifton*\cliftna01,1951,1958,C-F,6-6,220,October 13 1922,Xavier University of Louisiana
Bill Closs\clossbi01,1950,1952,F-C,6-5,195,January 8 1922,Rice University
Keith Closs\closske01,1998,2000,C,7-3,212,April 3 1976,Central Connecticut State University
Paul Cloyd\cloydpa01,1950,1950,G-F,6-2,180,June 13 1920,University of Wisconsin
Bob Cluggish\cluggbo01,1947,1947,C,6-10,235,September 18 1917,University of Kentucky
Ben Clyde\clydebe01,1975,1975,F,6-7,198,June 10 1951,Florida State University
Richard Coffey\cofferi01,1991,1991,F,6-6,212,September 2 1965,University of Minnesota
Fred Cofield\cofiefr01,1986,1987,G,6-3,190,January 4 1962,Eastern Michigan University
John Coker\cokerjo01,1996,2001,C,7-0,253,October 28 1971,Boise State University
Norris Cole\coleno01,2012,2017,G,6-2,175,October 13 1988,Cleveland State University
Ben Coleman\colembe01,1987,1994,F,6-9,235,November 14 1961,University of Maryland
Derrick Coleman\colemde01,1991,2005,F,6-10,230,June 21 1967,Syracuse University
E.C. Coleman\colemec01,1974,1979,F,6-8,225,September 25 1950,Houston Baptist University
Jack Coleman\colemja01,1950,1958,F-C,6-7,195,May 23 1924,University of Louisville
Norris Coleman\colemno01,1988,1988,F,6-8,210,September 27 1961,Kansas State University
